Upreglated in liver ILC1/ liver NK,FC: ILC1/NK,P-value,Upreglated in liver NK/ liver ILC1,FC: NK/ILC1,P-value,Upreglated in spleen ILC1/ spleen NK,FC: ILC1/NK,P-value,Upreglated in spleen NK/ spleen ILC1,FC: NK/ILC1,P-value,Upreglated in siLP ILC1/ siLP NK,FC: ILC1/NK,P-value,Upreglated in siLP NK/ siLP ILC1,FC: NK/ILC1,P-value,Upreglated in liver ILC1/spleen ILC1,FC: liver ILC1/ spleen ILC1,P-value,Upreglated in spleen ILC1/liver ILC1,FC: spleen ILC1 /liver ILC1,P-value,,
Inpp4b,12.41,0.00002,Itgam,11.53,0.00017,Il2ra,9.19,0.00001,Itgam,5.04,0.00178,Eya1,4.52,0.00948,Il22,4.81,0.01604,Itga1,5.38,0.00596,Pdlim1,11.07,0.00011,,
Tmem176b,11.47,0.00011,Sh2d1a,11.13,0.00033,Cd3g,8.53,0.00035,2010012O05Rik,4.98,0.00012,A430084P05Rik,4.19,0.02588,Rbpms2,4.71,0.00220,Pdzd2,5.07,0.00002,Ly6c2,10.25,0.00011,,
Tcrg-V3,11.01,0.00232,Ly6c1,10.96,0.00089,Atp6v0d2,8.07,0.00038,Mcam,4.85,0.00007,Myb,4.12,0.03589,Plxdc2,4.46,0.02335,LOC100503878,4.66,0.01271,Sidt1,10.18,0.00003,,
Tcrg-V2,10.17,0.00219,Kcnip3,10.41,0.00108,Inpp4b,7.34,0.00046,Gpx8,4.68,0.00103,Vegfa,4.11,0.02643,Tmem176b,4.41,0.04127,Adam19,4.62,0.00825,Cxcr4,9.80,0.00136,,
Atp8a2,9.83,0.00004,Zeb2,10.31,0.00042,Cd74,6.85,0.00060,As3mt,4.38,0.00242,Klrg1,3.95,0.03291,Tcrg-V3,4.32,0.03896,Atp8a2,4.60,0.00167,Aff3,9.12,0.00000,,
Cd200r2,9.74,0.00002,Cma1,9.25,0.00007,H2-Aa,6.73,0.00237,Car5b,4.30,0.00661,Sema4a,3.85,0.01595,Slc6a20a,4.25,0.03040,Gzma,4.50,0.01434,Kcnip3,9.01,0.00069,,
Asb2,7.90,0.00003,Ly6c2,8.90,0.00035,Gp49a,5.54,0.00035,Cym,4.28,0.00074,AB124611,3.71,0.03253,Il7r,4.20,0.04196,Cxcr6,4.42,0.00012,Plxnc1,7.90,0.00003,,
Rln3,7.54,0.00088,A430084P05Rik,8.78,0.00163,Tnfsf10,5.46,0.00057,Zeb2,4.04,0.00366,Itgam,3.66,0.01043,Irak3,4.15,0.00167,Zmat4,4.37,0.00009,Atp6v0d2,7.59,0.00059,,
Acpp,6.75,0.00019,Cym,8.52,0.00196,Acpp,5.45,0.00009,Cdc20b,3.98,0.00071,Sh2d1a,3.37,0.05712,Npas2,4.10,0.00039,Cd200r1,4.33,0.00384,AB124611,7.45,0.00025,,
Adam19,6.46,0.00038,Cmklr1,8.46,0.00249,Cd200r1,5.38,0.00068,St5,3.94,0.00374,Itga4,3.35,0.02024,Large,3.92,0.02274,Fgl2,4.33,0.00055,Klra1,7.16,0.00008,,
Socs2,6.15,0.00392,2010012O05Rik,8.33,0.00123,Gpr114,5.31,0.00002,Klra3,3.68,0.00109,Kcnip3,3.30,0.02610,Tmem64,3.90,0.00030,Ifitm2,3.85,0.01549,Il18r1,6.47,0.00010,,
Tmem176a,5.99,0.00078,AB124611,7.81,0.00072,Dtx1,5.29,0.00385,A430084P05Rik,3.60,0.00248,Styk1,3.29,0.00937,Kcnk1,3.81,0.01276,Rln3,3.81,0.02131,Tcf7,6.35,0.00025,,
Pdzd2,5.80,0.00013,Elovl7,7.59,0.00422,Dscam,5.24,0.00053,Gm10522,3.44,0.00069,Ccr7,3.23,0.04161,Gpr183,3.77,0.01332,Osgin1,3.75,0.01837,Eltd1,6.26,0.00043,,
Sema6d,5.74,0.00001,Pdlim1,7.57,0.00086,Trat1,5.21,0.00078,Rac3,3.27,0.00690,Khdc1a,3.10,0.00300,Psd2,3.77,0.01539,Tigit,3.51,0.03636,Cd3e,6.16,0.00236,,
Gpr114,5.66,0.00027,Cxcr4,7.42,0.00071,Ahr,5.20,0.00068,Klra9,3.24,0.00003,Sgk1,3.02,0.00206,Tcrg-V2,3.73,0.06067,Cd3g,3.34,0.00212,Cd28,6.13,0.00022,,
P2rx7,5.54,0.00003,Rap1gap2,7.38,0.00229,Socs2,5.09,0.00356,Snora16a,3.19,0.03389,Rgs16,2.95,0.04586,Lmo4,3.70,0.00033,Il21r,3.28,0.00031,Dmrta1,6.11,0.00040,,
Il21r,5.46,0.00007,Fcgr2b,7.15,0.00142,LOC100503878,5.07,0.00021,Gzmk,3.15,0.01120,Atp8b4,2.90,0.04216,Sgtb,3.54,0.02667,Stau2,3.14,0.00024,Kit,6.09,0.00045,,
Podnl1,5.26,0.00005,Prr5l,7.13,0.00053,Bmp7,4.58,0.00051,Nrarp,3.08,0.00897,Ly6c1,2.88,0.01664,Tmem154,3.44,0.02623,Stk32c,3.03,0.00170,Sh2d1a,5.93,0.00072,,
Gp49a,5.23,0.00011,Klra6,6.97,0.00336,Dapl1,4.57,0.00455,Klhl30,3.05,0.00169,Klf12,2.83,0.06000,Plcb4,3.33,0.03105,Pygl,3.01,0.00335,Itga4,5.71,0.00030,,
Il7r,5.00,0.00410,Cd55,6.49,0.00004,Lilrb4,4.53,0.00028,Klra10,3.04,0.00006,Plxnc1,2.78,0.09722,Oasl2,3.29,0.00552,Ptgs1,2.87,0.01081,Gpr183,5.42,0.00131,,
Sntb1,4.90,0.00095,Emb,6.38,0.00085,Itga1,4.47,0.00069,Klra1,3.02,0.00059,Itga2,2.75,0.00680,Adam12,3.20,0.01550,Cish,2.82,0.01386,Sgk1,5.42,0.00020,,
2900026A02Rik,4.77,0.00034,S1pr1,6.19,0.00117,Ikzf2,4.47,0.00012,Prf1,2.79,0.00064,Ly6c2,2.73,0.00385,Ckb,3.10,0.06679,P2rx7,2.69,0.00317,Angpt1,4.88,0.00147,,
Ifitm2,4.57,0.00475,D1Ertd622e,6.06,0.00000,Aqp9,4.39,0.00267,Styk1,2.78,0.00654,Irf8,2.73,0.01946,Podnl1,3.01,0.01537,Cd200r4,2.67,0.00069,Cd55,4.84,0.00000,,
Lphn1,4.57,0.00095,Nrarp,5.54,0.00032,Gpr15,4.04,0.00051,Hist1h2bg,2.76,0.00127,Crtam,2.71,0.02198,Mmp9,2.98,0.04922,Susd3,2.65,0.00452,Il7r,4.76,0.00003,,
Gpr97,4.56,0.00150,Angpt1,5.49,0.00485,Slco3a1,4.01,0.00001,Hist1h2bb,2.75,0.04783,Anxa1,2.71,0.08399,Atp6v0d2,2.96,0.05450,Ly6g5b,2.62,0.02667,H2-Aa,4.75,0.00430,,
Tnfsf8,4.47,0.00012,Snora16a,5.30,0.02475,H2-Ab1,3.89,0.00589,Irf8,2.61,0.00274,Ccbl2,2.63,0.05913,Tnfrsf25,2.91,0.00574,Igsf5,2.60,0.00909,Pde2a,4.56,0.00027,,
Klk8,4.43,0.00341,Itga4,5.24,0.00062,St6galnac3,3.86,0.00051,Cdk14,2.57,0.01475,Myc,2.61,0.02210,Cxcr6,2.84,0.02681,Dusp6,2.59,0.00626,Elovl7,4.54,0.00162,,
Pip5k1b,4.39,0.00208,Lpin1,5.19,0.00049,Tnf,3.83,0.00092,Prdm1,2.50,0.01411,Ctla2b,2.59,0.13142,Chad,2.83,0.01169,Abcb9,2.56,0.01982,Ehd3,4.52,0.00194,,
Zmat4,4.34,0.00016,Slamf6,5.05,0.00812,Fam124b,3.83,0.00039,Prr5l,2.45,0.01507,Rap1gap2,2.58,0.02202,Capg,2.83,0.03775,Gimap7,2.53,0.00004,1700025G04Rik,4.45,0.00131,,
St6galnac3,4.30,0.00064,Klf2,5.00,0.00143,Gramd3,3.75,0.00143,Lair1,2.45,0.00102,Slamf6,2.57,0.07300,Nr1d1,2.78,0.02127,Tnfsf10,2.53,0.01429,Itga2,4.34,0.00220,,
BC005685,4.16,0.00120,Gm10522,4.98,0.00049,Asb2,3.70,0.00030,S100a1,2.45,0.01573,Ppargc1a,2.46,0.03867,Rnase4,2.78,0.01455,LOC641050,2.47,0.00240,Slco3a1,4.23,0.00004,,
Lilrb4,4.15,0.00009,Anxa1,4.92,0.00038,Lyst,3.67,0.00764,Sord,2.44,0.00774,Gzma,2.46,0.02093,Trat1,2.75,0.07701,Plcg1,2.46,0.00388,Klf2,4.22,0.00111,,
Osgin1,4.12,0.00370,Itga2,4.85,0.00293,Camk4,3.63,0.00275,Klre1,2.34,0.00088,Cmklr1,2.46,0.05994,Slc27a6,2.73,0.05442,Abi3,2.44,0.02298,Klf3,4.21,0.00068,,
Lpar6,4.09,0.00284,Gpx8,4.72,0.00287,Itgb3,3.59,0.00010,Hist1h1c,2.26,0.00291,Cd247,2.43,0.04352,8-Sep,2.72,0.00012,Styk1,2.41,0.01063,Dapl1,4.14,0.00206,,
Tspan31,4.03,0.00099,Khdc1a,4.69,0.00048,Rora,3.44,0.00123,Acpl2,2.23,0.00256,Gpr174,2.42,0.02524,Pde5a,2.72,0.04626,Jup,2.39,0.00697,Dscam,4.06,0.00086,,
Rbpj,3.95,0.00139,Aff3,4.56,0.01010,Kit,3.40,0.00289,Rnu1b1,2.17,0.00490,Lphn2,2.39,0.12379,Epas1,2.67,0.02165,S100a6,2.39,0.04780,B3gnt5,4.06,0.00077,,
Aqp9,3.95,0.00062,St5,4.43,0.00217,Gpr97,3.36,0.00558,Snora44,2.16,0.02837,Chd7,2.38,0.08077,Ahcyl2,2.66,0.00521,Asb2,2.39,0.00222,Rap1gap2,3.89,0.00107,,
Ckb,3.85,0.00002,Eltd1,4.40,0.00418,Ltb,3.36,0.00527,Fcgr2b,2.16,0.02869,Cd83,2.37,0.01984,Eps8l3,2.63,0.04446,Gm4956,2.38,0.00930,Rasa3,3.82,0.00017,,
Cd160,3.76,0.00377,Sgk1,4.40,0.00024,Tnfsf8,3.34,0.00237,Hist1h4c,2.13,0.02499,Zeb2,2.34,0.03506,Fam184b,2.63,0.08037,Itgad,2.33,0.00015,Atp1b3,3.73,0.00061,,
Ly6g5b,3.57,0.00410,Klf12,4.31,0.00423,Sidt1,3.33,0.00716,Stk32c,2.13,0.00140,Tfam,2.34,0.07358,Cdk14,2.63,0.04939,Klra9,2.32,0.03783,Fcgr2b,3.72,0.00267,,
Cd38,3.50,0.01166,Eya1,4.31,0.00248,Cd226,3.32,0.00005,Lat2,2.11,0.00523,Setbp1,2.29,0.00566,Icos,2.60,0.00344,Gdf11,2.26,0.01228,As3mt,3.68,0.00340,,
Cd226,3.44,0.00047,Dhrs3,4.27,0.00786,Podnl1,3.14,0.00002,Cd55,2.10,0.00015,Klre1,2.29,0.04165,Dmrta1,2.54,0.01891,Sepn1,2.23,0.04876,Dennd2d,3.65,0.00056,,
Camk4,3.41,0.00014,B3gnt5,4.23,0.00364,Tmem154,3.02,0.00199,Tigit,2.06,0.00976,Rab27b,2.29,0.10521,Cyp4f16,2.51,0.04333,Lphn1,2.22,0.00315,D1Ertd622e,3.62,0.00080,,
Actn1,3.34,0.00166,Pde2a,4.23,0.00487,Dpp4,2.99,0.00021,4930431A04Rik,2.06,0.00246,Aff3,2.26,0.04840,Rab11fip1,2.51,0.00762,Lphn1,2.20,0.02181,Man2a1,3.59,0.00057,,
A130014H13Rik,3.33,0.00118,Gramd3,4.21,0.00432,Sema6d,2.98,0.00184,Eomes,2.06,0.00047,Ugt1a9,2.25,0.00498,Fam124b,2.51,0.02448,Cdh1,2.19,0.00238,Car5b,3.50,0.00306,,
Rnf128,3.32,0.00550,H2afz,4.09,0.00120,Cd3d,2.97,0.00195,Rasgef1a,2.04,0.00507,Ccl9,2.24,0.03573,Cdon,2.49,0.00116,BC005685,2.19,0.03203,Car2,3.48,0.00066,,
Cxcr3,3.28,0.00759,Flna,3.99,0.00111,Psd2,2.92,0.00030,Pycard,2.02,0.00014,Aim1,2.23,0.06298,Maf,2.44,0.00754,2900026A02Rik,2.19,0.00383,Cd74,3.43,0.00357,,
Gcnt2,3.27,0.00067,Plxnc1,3.96,0.00710,Gm9766,2.90,0.00455,Rnu3b1,2.02,0.04693,Adap1,2.21,0.03293,Ryk,2.41,0.00810,Gp49a,2.17,0.01324,Wwp1,3.41,0.00151,,
Ahr,3.26,0.00402,Atp1b3,3.92,0.00003,Ckb,2.89,0.00060,,,,Slc41a2,2.16,0.03874,Gm10008,2.38,0.12519,Nedd9,2.16,0.01007,Kbtbd11,3.37,0.00520,,
Glrx,3.23,0.01724,Il18r1,3.89,0.00013,Ahcyl2,2.89,0.01914,,,,Tmem163,2.15,0.01838,Lysmd2,2.38,0.00461,Sh3bp2,2.14,0.03493,Cd22,3.34,0.00085,,
Tasp1,3.21,0.00063,Cyp17a1,3.83,0.00633,Lpar6,2.88,0.00106,,,,S100a6,2.13,0.11690,1300014I06Rik,2.37,0.01349,AW555464,2.13,0.00097,Zeb2,3.31,0.00011,,
Rgs1,3.19,0.00200,1700025G04Rik,3.72,0.00662,Cdon,2.85,0.00038,,,,Tmcc3,2.13,0.03597,H1f0,2.34,0.02978,Sntb1,2.13,0.03127,Mef2c,3.29,0.00001,,
Tubb6,3.08,0.00020,Irf8,3.60,0.00424,Cd160,2.76,0.00105,,,,Itgax,2.11,0.03372,Gpr97,2.33,0.03452,Hip1,2.12,0.00152,Prr5l,3.25,0.00031,,
Ptprj,3.06,0.01048,Rasa3,3.59,0.00094,Serpina3f,2.75,0.00595,,,,Gnptab,2.09,0.01494,Susd2,2.30,0.01633,Fam19a3,2.12,0.00465,Slc9a7,3.23,0.00004,,
Rcbtb2,3.03,0.01456,Mcam,3.58,0.00198,Lpxn,2.73,0.00015,,,,Gramd3,2.08,0.03558,Ifitm2,2.29,0.00953,Slc16a10,2.09,0.00444,Flna,3.23,0.00074,,
Hic1,3.03,0.00036,Dnajb4,3.57,0.00030,Slfn1,2.72,0.00274,,,,P2ry14,2.06,0.03169,Zfp462,2.28,0.05406,Sema6d,2.09,0.00326,Dhrs3,3.14,0.00362,,
Bmp7,3.02,0.00276,P2ry14,3.56,0.00029,Dzip1,2.71,0.00029,,,,Gramd4,2.04,0.05324,Ly6g5b,2.28,0.09765,Slc16a6,2.06,0.03194,Tgfb3,3.13,0.00026,,
Tmem154,3.02,0.01748,Mef2c,3.46,0.00060,Tspan31,2.71,0.00475,,,,Sykb,2.01,0.04155,Adam8,2.27,0.01236,Optn,2.06,0.00784,Eya1,3.13,0.00024,,
Aim2,3.01,0.00939,4831426I19Rik,3.45,0.00573,Emb,2.70,0.00385,,,,Cym,2.01,0.01060,Sgms1,2.26,0.00526,Dennd5a,2.05,0.02060,H2-Ab1,3.11,0.00042,,
4930503L19Rik,2.99,0.00673,Stmn1,3.36,0.00107,Tnfrsf25,2.70,0.00110,,,,,,,Il1rl2,2.25,0.00549,Lilrb4,2.04,0.01112,Klhl6,3.10,0.00019,,
Abi3,2.98,0.01489,Sord,3.26,0.00170,Cd28,2.69,0.00781,,,,,,,Tasp1,2.25,0.00636,St14,2.03,0.00369,Crtam,3.09,0.00301,,
Gimap7,2.96,0.00007,Vcl,3.18,0.00886,Il20ra,2.67,0.00353,,,,,,,Odc1,2.24,0.03635,4930485B16Rik,2.03,0.00515,Ctss,3.04,0.00051,,
Cish,2.94,0.00611,Nuak2,3.17,0.01124,Gpr52,2.65,0.00671,,,,,,,Socs2,2.24,0.01426,B3galt5,2.02,0.00163,Scpep1,3.00,0.00307,,
Trf,2.93,0.00478,Slc9a7,3.15,0.00226,Chst15,2.62,0.00037,,,,,,,Fam82a1,2.22,0.00442,Cables1,2.02,0.01755,Lef1,2.99,0.00142,,
Lag3,2.93,0.00076,Myb,3.15,0.00031,Cldnd1,2.61,0.00154,,,,,,,Dkkl1,2.22,0.05064,,,,S1pr5,2.99,0.00029,,
Gdpd5,2.86,0.00036,Taf1d,3.12,0.02993,Rab11fip1,2.57,0.00355,,,,,,,Lztfl1,2.21,0.01185,,,,Gpr15,2.97,0.00025,,
Phxr4,2.82,0.00864,Ctla2b,3.10,0.00131,Dmrta1,2.57,0.00698,,,,,,,Gpr114,2.21,0.00869,,,,Lpin1,2.97,0.00118,,
Stau2,2.82,0.00033,Hexb,3.08,0.01221,Pip5k1b,2.52,0.00606,,,,,,,Fah,2.20,0.03536,,,,F630048H11Rik,2.93,0.01566,,
Gdf11,2.80,0.00511,Racgap1,3.04,0.01348,Klk8,2.52,0.00083,,,,,,,Atp8a2,2.18,0.00328,,,,A430084P05Rik,2.92,0.01129,,
Gm4956,2.79,0.00158,Gramd4,3.02,0.00484,Parp8,2.49,0.00327,,,,,,,Rln3,2.16,0.00620,,,,Cldnd1,2.91,0.00165,,
S100a4,2.74,0.00238,Fbxl2,3.01,0.00713,Gpr55,2.41,0.00205,,,,,,,Pde7b,2.16,0.00614,,,,Tnfrsf26,2.90,0.00006,,
Lpxn,2.71,0.00009,Stard10,3.00,0.00829,Treml2,2.40,0.00007,,,,,,,Ltb,2.15,0.02529,,,,Klf12,2.90,0.00113,,
Tox,2.69,0.00823,Cx3cr1,3.00,0.00040,Phxr4,2.39,0.01344,,,,,,,Slc16a10,2.13,0.05734,,,,Frrs1,2.89,0.00460,,
Abcb9,2.68,0.00260,Ctss,3.00,0.00002,Tnfrsf21,2.36,0.00035,,,,,,,Serinc2,2.13,0.05959,,,,Ar,2.85,0.00080,,
Fam125b,2.68,0.03622,Cdc20b,2.96,0.00048,Fam46c,2.34,0.00058,,,,,,,Snora44,2.12,0.15102,,,,Stard10,2.83,0.00028,,
Trip4,2.68,0.00075,Fam69a,2.95,0.00027,Tgtp1,2.33,0.00165,,,,,,,Cd4,2.12,0.05728,,,,Egln3,2.83,0.00024,,
41890.0000,2.67,0.00076,Rap2b,2.93,0.00544,Nebl,2.33,0.00315,,,,,,,Rasl11a,2.11,0.07529,,,,Ssh2,2.81,0.00014,,
Itgad,2.67,0.00407,Itm2a,2.91,0.00787,Cxcr3,2.33,0.00642,,,,,,,Ero1l,2.10,0.00875,,,,Rasgrp2,2.81,0.00048,,
Abca3,2.65,0.00006,Abcg2,2.90,0.00261,A130014H13Rik,2.31,0.00182,,,,,,,Slc35f2,2.09,0.01801,,,,Il6st,2.79,0.00014,,
Appl2,2.64,0.00636,Cdc14b,2.88,0.00082,Atp8a2,2.30,0.00571,,,,,,,Hoxa5,2.09,0.01644,,,,Ano10,2.78,0.00224,,
Vav3,2.63,0.00644,Pogk,2.86,0.00578,N4bp2,2.30,0.00252,,,,,,,Gpr157,2.09,0.01433,,,,Rcbtb1,2.78,0.00124,,
Dusp6,2.63,0.00300,Acpl2,2.84,0.00240,BC021614,2.29,0.01715,,,,,,,Itgb3,2.09,0.02661,,,,Sike1,2.77,0.00547,,
AW555464,2.63,0.00013,Klra3,2.82,0.00238,Il6st,2.26,0.00071,,,,,,,Hoxa6,2.09,0.01837,,,,D130062J21Rik,2.76,0.04450,,
Gm10008,2.62,0.00392,Tcf7,2.72,0.02627,Cd274,2.26,0.00892,,,,,,,Ctla4,2.08,0.00621,,,,Dpp4,2.76,0.00037,,
Apol7e,2.61,0.00457,Nr4a1,2.69,0.01991,Slc27a6,2.25,0.00854,,,,,,,Il2ra,2.08,0.02546,,,,Cd3d,2.75,0.00099,,
Gbp9,2.61,0.00182,Prf1,2.68,0.00286,Klrb1b,2.24,0.00349,,,,,,,Rora,2.08,0.04276,,,,Fgf13,2.75,0.00069,,
Adam8,2.60,0.00040,Rps27l,2.66,0.00497,Egln3,2.24,0.00015,,,,,,,Fbxl21,2.06,0.06412,,,,Bzw2,2.73,0.00175,,
Cdh1,2.59,0.00335,Sypl,2.65,0.00008,Fchsd2,2.24,0.01276,,,,,,,Lipo1,2.06,0.10395,,,,Rhoq,2.72,0.00312,,
Slc16a10,2.59,0.00059,Serpinb9,2.65,0.00603,Vipr1,2.24,0.00226,,,,,,,Cpne7,2.05,0.03656,,,,Iqgap2,2.70,0.00032,,
Clnk,2.58,0.00634,Klhdc2,2.65,0.01474,Aim2,2.22,0.01290,,,,,,,Gm2a,2.05,0.05304,,,,Gramd4,2.69,0.00033,,
Apol7b,2.57,0.00507,Pfkp,2.65,0.00192,Tcrb-J,2.21,0.00002,,,,,,,Rhod,2.04,0.01829,,,,Ttc28,2.68,0.01245,,
Nlrc5,2.56,0.00016,Ccr2,2.61,0.00055,Cd22,2.20,0.00606,,,,,,,St6galnac3,2.04,0.04150,,,,Cd2,2.63,0.00097,,
Cd7,2.56,0.00273,Snrpe,2.60,0.01811,Icos,2.20,0.00028,,,,,,,Sla,2.04,0.03727,,,,Adamts6,2.62,0.00217,,
Parp12,2.55,0.00223,Ier2,2.59,0.01119,Gm7075,2.20,0.01004,,,,,,,Cd93,2.03,0.02480,,,,Phf11,2.62,0.01951,,
Dll1,2.53,0.00120,Tm6sf2,2.57,0.00335,Gdpd5,2.18,0.00009,,,,,,,Gpr55,2.03,0.02575,,,,Anxa1,2.59,0.00309,,
Dtx1,2.52,0.00238,Ndufa4,2.56,0.01374,Lysmd2,2.16,0.00182,,,,,,,Xlr4c,2.02,0.16570,,,,Slc14a1,2.57,0.01732,,
LOC641050,2.52,0.00064,Man2a1,2.56,0.01495,Gm6273,2.16,0.02020,,,,,,,Tmem156,2.02,0.05692,,,,Il18rap,2.54,0.00125,,
B3galt5,2.50,0.00002,Hist1h1b,2.55,0.00257,2900026A02Rik,2.16,0.00084,,,,,,,,,,,,,Arl4c,2.53,0.00022,,
Pitpnm2,2.49,0.00118,Cd2,2.55,0.00061,Amica1,2.15,0.00412,,,,,,,,,,,,,Clcn3,2.53,0.00768,,
Ipcef1,2.45,0.00410,Phf11,2.54,0.04712,E030037K03Rik,2.15,0.00404,,,,,,,,,,,,,Cym,2.51,0.00168,,
Plcg1,2.45,0.00039,Gns,2.52,0.00662,Xcl1,2.15,0.00118,,,,,,,,,,,,,Arhgap26,2.50,0.00002,,
Abr,2.45,0.00577,Kcnab2,2.51,0.00962,St6gal1,2.15,0.00533,,,,,,,,,,,,,H2-Ob,2.49,0.00178,,
Tnf,2.44,0.00946,Klf3,2.51,0.01154,Ipcef1,2.14,0.00541,,,,,,,,,,,,,Tagap,2.48,0.00997,,
Cysltr2,2.44,0.02046,Med21,2.49,0.03496,Gna15,2.14,0.01161,,,,,,,,,,,,,Satb1,2.47,0.00050,,
1700009P17Rik,2.44,0.02107,Plek,2.48,0.00092,Dgka,2.12,0.00491,,,,,,,,,,,,,Arhgef18,2.47,0.00117,,
Chn2,2.43,0.01346,Dnahc8,2.48,0.00658,Gpr132,2.12,0.00612,,,,,,,,,,,,,Dtx1,2.47,0.00052,,
H1f0,2.42,0.00073,Rps12,2.47,0.03292,Parp12,2.09,0.01719,,,,,,,,,,,,,Bach2,2.46,0.00006,,
Gpr52,2.42,0.00023,Rasgrp2,2.46,0.00424,Tiam2,2.08,0.03607,,,,,,,,,,,,,Vipr1,2.45,0.00148,,
Edaradd,2.41,0.00316,Hist1h2bg,2.44,0.01382,Pdk1,2.07,0.00532,,,,,,,,,,,,,Tnfrsf22,2.44,0.00096,,
Tgfbr1,2.40,0.00880,Crtam,2.44,0.00454,Jak2,2.06,0.03464,,,,,,,,,,,,,Rnf125,2.42,0.01875,,
Jak2,2.40,0.01210,Il18rap,2.43,0.00086,Rbpj,2.06,0.01085,,,,,,,,,,,,,Gm2a,2.41,0.01481,,
Mpa2l,2.40,0.00103,A430078G23Rik,2.43,0.00780,H2-Ob,2.06,0.00283,,,,,,,,,,,,,Pogk,2.39,0.00018,,
Slain2,2.39,0.03876,Klhl6,2.42,0.00101,Armc7,2.05,0.01322,,,,,,,,,,,,,Add3,2.39,0.00361,,
Nedd9,2.38,0.00745,Hist1h1a,2.42,0.00766,Wwp1,2.04,0.04033,,,,,,,,,,,,,Fam69a,2.38,0.00040,,
Foxo3,2.38,0.02616,Gm10063,2.41,0.03386,Nsg2,2.01,0.00110,,,,,,,,,,,,,Itgam,2.35,0.00748,,
Atxn1,2.37,0.01529,Sidt1,2.36,0.01168,Tgtp1,2.01,0.00130,,,,,,,,,,,,,Dgka,2.35,0.00031,,
Fam101b,2.36,0.01594,Atp1a1,2.36,0.01299,Rnf144a,2.01,0.00009,,,,,,,,,,,,,A430078G23Rik,2.34,0.00157,,
Large,2.36,0.00918,Lair1,2.33,0.00126,,,,,,,,,,,,,,,,Zfp36,2.33,0.02393,,
Susd2,2.35,0.01400,Ndufb6,2.32,0.04725,,,,,,,,,,,,,,,,Dnahc8,2.33,0.00231,,
Tmem149,2.32,0.00144,Tspo,2.29,0.00040,,,,,,,,,,,,,,,,Hes1,2.32,0.01166,,
Mfsd10,2.32,0.02256,Ugt1a9,2.28,0.00650,,,,,,,,,,,,,,,,Man1c1,2.30,0.00075,,
